Ime objekta,Podrijetlo imena
Golubinka do Traverze kod uvale Južni Vavošćak,smišljeno prema toponimu
Tri para čarapa,smišljeno novo
Peć pod Belim gradom,smišljeno prema toponimu
Špilja ispod Pliševice,smišljeno prema toponimu
"Špilja di je upala krava, Runovići",smišljeno novo
Biokovka,nepoznato podrijetlo
Jama u Velim Sapcima 2,smišljeno prema toponimu
Jama na Glavici,preuzeto kao lokalni naziv
Špilja na Livadicama,preuzeto kao lokalni naziv
Oziđana pećina,nepoznato podrijetlo
Špilja iznad kamenoloma Belaj,smišljeno novo
Jama na Kajancu,smišljeno prema toponimu
Pećina Loza 2,preuzeto kao lokalni naziv
Babina bombuša,smišljeno novo
Portal jama,smišljeno novo
Jadave 1,smišljeno prema toponimu
Komitina jama,nepoznato podrijetlo
Vražje ždrijelo,smišljeno novo
Crvene stijene,smišljeno novo
Mala Plješina,smišljeno novo
Crikvena 13,smišljeno prema toponimu
Borušnjak 2,smišljeno prema toponimu
"Sori, napio sam se",smišljeno novo
Špiljica u usjeku,smišljeno novo
Ne ide pod 90,smišljeno novo
Golubinka ispod Lišnjaka,preuzeto kao lokalni naziv
Jama s puževima,smišljeno novo
Bateryka,smišljeno novo
Plisuja,smišljeno novo
Mladenova jama,smišljeno novo
Brlog,smišljeno novo
Goropadnica,smišljeno novo
Vilinska jama pod Okitom,preuzeto kao lokalni naziv
Živina,smišljeno novo
Jama ispod starog puta,smišljeno novo
Pećina Židna hižica 3,preuzeto kao lokalni naziv
Jama GS,smišljeno novo
Jankova spilja,preuzeto kao lokalni naziv
Utvrda,smišljeno novo
Gospa od zdravlja,smišljeno prema toponimu
Učiteljica,smišljeno novo
Bombica,smišljeno novo
Poderane gaće,smišljeno novo
Sjetna jama,smišljeno novo
Mala jama pod pločom,smišljeno novo
Jama pod Zmajevim hrptom,smišljeno prema toponimu
Beba,smišljeno novo
Čikita špilja,smišljeno novo
Jama kitnjaća,preuzeto kao lokalni naziv
Lipa špilja Kalinovača,smišljeno prema toponimu
Medvjeđa zamka,smišljeno novo
Spasiteljica,preuzeto kao lokalni naziv
Prvi tečaj,smišljeno novo
Drvljenička,preuzeto kao lokalni naziv
Grabnica,smišljeno novo
Ricina spila,smišljeno novo
Džamarova pećina,preuzeto sa karte
Ponor Rečice,preuzeto kao lokalni naziv
Lounge bar,smišljeno novo
Jama Mirna Ruka,smišljeno novo
Štrumfić,smišljeno novo
Bombina,smišljeno novo
Vitkovača,preuzeto kao lokalni naziv
Jama u Ponikvama,smišljeno prema toponimu
Jama frižider,smišljeno novo
Jama vjetrova,smišljeno novo
Špilja Nož,smišljeno novo
Špilja prolaz kod Periševe uvale,smišljeno prema toponimu
Jama na Mornarevu kosovcu,preuzeto iz literature
Kruškovci jama,smišljeno prema toponimu
Jama pod jelinom grbom,smišljeno novo
Breskva,smišljeno novo
Jazavčarka,smišljeno novo
Pećina kod dječjeg oporavilišta,smišljeno novo
Jama na Kamenjaku,smišljeno prema toponimu
Uska jama,smišljeno novo
Zidić špilja,smišljeno novo
Golubinka kod 9. vjetrenjače,smišljeno prema toponimu
Sačekuša,smišljeno novo
Jama kod Špadine 1,preuzeto iz literature
Jama ispod Velikog Lisca,smišljeno prema toponimu
Povuci potegni,smišljeno novo
Jama pod Sv. Spasom,smišljeno prema toponimu
Lovica na jelene,smišljeno novo
Dva ipo sata,smišljeno novo
Špilja smokvinog lista,smišljeno novo
Božinkina jama,preuzeto kao lokalni naziv
Kaljuža,smišljeno novo
Sv. Josip,smišljeno novo
Baburića jama,smišljeno prema toponimu
Jama u vali Usenjak,smišljeno prema toponimu
Pećina,smišljeno novo
Lavdanova jama,preuzeto kao lokalni naziv
Špilja nad kamenim mostom,smišljeno novo
Špiljica pri izvorištu Krke,smišljeno novo
Jama iznad jame Tam-tam,smišljeno novo
Zvončica,smišljeno novo
Smrzluša,smišljeno novo
Ponor ispod logora,smišljeno novo
Lažnjakuša Lajava,smišljeno novo
Moja prva,smišljeno novo
Jama Niska,smišljeno prema toponimu
Prva Vanjina,smišljeno novo
Jama kod Turkovića,smišljeno prema toponimu
Zaglavica,preuzeto kao lokalni naziv
Voska luknja,smišljeno novo
Špilja nasuprot Okrugle,smišljeno novo
Staje 8,smišljeno prema toponimu
Katinovac,preuzeto kao lokalni naziv
Banja,smišljeno prema toponimu
Vuglovščak,smišljeno novo
Propust pećina,preuzeto kao lokalni naziv
Uzlazna špilja,smišljeno novo
Podledenica,preuzeto kao lokalni naziv
Ljepotica,smišljeno novo
Špiljica pod Luketinim brdom,smišljeno prema toponimu
Torrotan,smišljeno novo
Pukotina,smišljeno novo
Velaris,smišljeno novo
Jama Berami-Relići,smišljeno prema toponimu
Filipova jama,smišljeno novo
Hajdinka 2,smišljeno prema toponimu
Izvor Sinjac,preuzeto kao lokalni naziv
Stonjska peć gornja,preuzeto kao lokalni naziv
Jama u Špejarovim lugovima 4,smišljeno prema toponimu
Jama u Panićima,smišljeno prema toponimu
Jama Bliznica 1,preuzeto kao lokalni naziv
Jama kod Brčkovaca,smišljeno prema toponimu
Golubinka kod Rošca,preuzeto kao lokalni naziv
Jama u Dovnu,smišljeno prema toponimu
Jama u Zabirađu,preuzeto kao lokalni naziv
Jama u zakamenu,nepoznato podrijetlo
Jama u Gvozdaku,smišljeno prema toponimu
Kondicijska jama,smišljeno novo
Prozornica,preuzeto kao lokalni naziv
Špiljama,smišljeno novo
Mau Mau,smišljeno novo
Jama stare komisije,smišljeno novo
Bubarinka,smišljeno novo
Špilja kod Antunovića,smišljeno novo
Starija gospođa,smišljeno novo
Znetva Spašenac,preuzeto kao lokalni naziv
Pećina na Vuletincu,preuzeto kao lokalni naziv
Kaverna 781,smišljeno novo
Ponor Vinela,smišljeno prema toponimu
Pećina Mirakul,smišljeno novo
Brgudac XI,smišljeno prema toponimu
Zagorska pećina,smišljeno prema toponimu
Slakova špilja,smišljeno novo
Nova Baraćeva,smišljeno prema toponimu
Špilja iznad amfiteatra,smišljeno novo
Jama iznad ceste,smišljeno novo
Golubinka u Tišnjanskoj Dubravi,preuzeto kao lokalni naziv
Ponor Pratrovac,smišljeno prema toponimu
Ljubotina,smišljeno prema toponimu
Anžička,smišljeno prema toponimu
Pećina u Turinjevcu,smišljeno prema toponimu
Jama Veja gora,smišljeno prema toponimu
Jama za Vratlom,smišljeno novo
Marčina jama,preuzeto kao lokalni naziv
Đot,preuzeto kao lokalni naziv
Jolina jama,preuzeto kao lokalni naziv
Pećina prije uvale Oštarije,smišljeno prema toponimu
Jama Boškari Otave,preuzeto kao lokalni naziv
Horvatova špilja,preuzeto kao lokalni naziv
Prvi nacrt,smišljeno novo
Puhalica,smišljeno novo
Puhova jama,smišljeno novo
Pećina poli Leskov dol,smišljeno prema toponimu
Zala 2,preuzeto iz literature
Fafarinkina špilja,smišljeno novo
Stražari 3,smišljeno novo
Coca Cola orginal,smišljeno novo
Uska sreća,smišljeno novo
Vrsinska jama,preuzeto iz literature
Špilja Komaruša,smišljeno novo
Jama na Kunfinu,preuzeto kao lokalni naziv
Mahovnjača,smišljeno novo
Jelenji grob,smišljeno novo
Golubinka nad Mingama,smišljeno prema toponimu
Jama Golubinka,preuzeto kao lokalni naziv
Patnja hladnog Werthera,smišljeno novo
Bukvakuša,smišljeno novo
Krajcerova špilja,preuzeto iz literature
Sitvukova pećina,preuzeto kao lokalni naziv
Jama pod cestom,smišljeno novo
Bezdana jama,preuzeto kao lokalni naziv
Markotića buža,smišljeno novo
Jama pod Gažnovcem,smišljeno prema toponimu
"Na silu, na silu",smišljeno novo
Špilja nad Oblim kamom,smišljeno prema toponimu
Stračinčica,smišljeno prema toponimu
Špilja 3 u uvali Hodoblja,smišljeno prema toponimu
Špilja iznad crkvice Gospe od Luga,smišljeno prema toponimu
Noćna,smišljeno novo
Pećina Lazinina,preuzeto kao lokalni naziv
Špilja na serpentini,smišljeno novo
Lijepa jama u Ljeskovoj strani,smišljeno prema toponimu
Jama pod Smoljana glavicom,smišljeno prema toponimu
Kaverna Škurinje 2,smišljeno prema toponimu
Karle,preuzeto kao lokalni naziv
Fosilka,smišljeno novo
Špilja u Koritima,preuzeto kao lokalni naziv
Crna ledenica,preuzeto kao lokalni naziv
Sumoborci-krumpiraši,smišljeno novo
Ralićeva špilja,preuzeto kao lokalni naziv
Škiljanovka,preuzeto kao lokalni naziv
Jožina jama bez zamke,smišljeno novo
Špilja podno Rope,smišljeno prema toponimu
Ansa Cervicalis,smišljeno novo
Rupa iznad Parenzane,smišljeno novo
BG 9,smišljeno prema toponimu
Olovkina jama,smišljeno novo
Jama SDB 2,smišljeno novo
Kazna,smišljeno novo
Mala Birnjača,preuzeto kao lokalni naziv
Guano Apes,smišljeno novo
Gverićeva jama,preuzeto kao lokalni naziv
Jama na Škrilama,preuzeto kao lokalni naziv
Mekotica,preuzeto kao lokalni naziv
Špilja Gluhe drage 1,smišljeno prema toponimu
Mrtva kopriva,smišljeno novo
Jazavac,smišljeno novo
Jama pod Boškom,smišljeno prema toponimu
Pićiguz,smišljeno novo
G9,smišljeno novo
Osinja jama,smišljeno novo
Tejina jama,preuzeto kao lokalni naziv
Ragazzo,smišljeno novo
Stupova Glava,smišljeno prema toponimu
Špilja u Murvenici,smišljeno prema toponimu
Medora,preuzeto kao lokalni naziv
Jama na Josinoj biljevini,nepoznato podrijetlo
Plebiscit,smišljeno novo
Jama na Kačju,smišljeno prema toponimu
Bausova jama,smišljeno novo
Lušina jama,preuzeto kao lokalni naziv
Kamperica,smišljeno novo
G31,smišljeno novo
Jama pod snijegom,smišljeno novo
Jama u Vrtima,smišljeno novo
Smokovača,preuzeto kao lokalni naziv
Rabakova pećina,smišljeno prema toponimu
Jama do Brižne salamandre,smišljeno novo
Kihalica kod Čićave,smišljeno prema toponimu
Selnica,smišljeno prema toponimu
Majhena,smišljeno novo
Ponor u Sikiricama,smišljeno prema toponimu
Aničin ponor,preuzeto kao lokalni naziv
Srimuš,smišljeno novo
Vilina kuća,preuzeto kao lokalni naziv
Jama u Špejarovim lugovima 3,smišljeno prema toponimu
Bezdanica na Paklju,preuzeto kao lokalni naziv
Jama na stazi,preuzeto kao lokalni naziv
Magazin,preuzeto kao lokalni naziv
Šogi i Žohari,smišljeno novo
WD-40,smišljeno novo
Kaverna uz cestu iznad Gromače,smišljeno novo
Golubinka Ljubostinje,preuzeto kao lokalni naziv
Jama uz put za Punar u Luci,smišljeno prema toponimu
Jazinka,preuzeto kao lokalni naziv
Zdenčajka II,preuzeto kao lokalni naziv
Špilja na Kurozebu,smišljeno prema toponimu
Trpnjak 1,smišljeno prema toponimu
Đurova špilja,preuzeto kao lokalni naziv
Jama u Šodinom masliniku,smišljeno novo
Jama pod Glavicom,smišljeno prema toponimu
Spilja na Rulevki,smišljeno prema toponimu
Jama pod Kolosekom,preuzeto kao lokalni naziv
Morska jama u uvali male Vrulje,smišljeno prema toponimu
Jednostavna,smišljeno novo
Mlohava špilja 2,smišljeno novo
Špilja na Vršinoj glavici,smišljeno prema toponimu
Bijela kosa,smišljeno prema toponimu
Goveđa jama,smišljeno prema toponimu
Usko Grlo,smišljeno novo
Bunar jama u uvali Tribojci,smišljeno prema toponimu
Špilja uz Kaluđerovo jezero,smišljeno prema toponimu
K'Učka,smišljeno novo
Špilja Šepurina,preuzeto kao lokalni naziv
Prvi kontakt,smišljeno novo
Pećina nad Klačenicom,smišljeno prema toponimu
Savića paljevina II,smišljeno prema toponimu
Kaverna u Crljenom kuku,smišljeno prema toponimu
Poskokova špilja,smišljeno novo
Abrakačabra,smišljeno novo
Vrebčeva pećina,preuzeto sa karte
Špilja ispod Velog Vrha,smišljeno prema toponimu
Jama u Luci,preuzeto kao lokalni naziv
Kusa,preuzeto sa karte
Tovareva jama,smišljeno novo
"Vanja,Vanjice",smišljeno novo
Nema dalje,smišljeno novo
Dvogrla škovacara,preuzeto iz literature
Jama kod peći pod Krogom,smišljeno prema toponimu
Spilja Vrelo pod Strašnim stranama,smišljeno prema toponimu
Žuževačka jama,smišljeno prema toponimu
Jama SD 2,smišljeno novo
Sniježnica kod Stradivarija,smišljeno novo
Špičasta špillja,smišljeno novo
Boršt,smišljeno prema toponimu
Lulekovo prkno,smišljeno novo
Jama na Šestanovu,smišljeno prema toponimu
Petarda,smišljeno novo
Mini golf - Strguljin grad 4,smišljeno prema toponimu
Tončakova jama,preuzeto kao lokalni naziv
Špilja kod mlina babe Milane,preuzeto kao lokalni naziv
Bunar jama na Kamenom Žaknu,preuzeto kao lokalni naziv
Jama na Nošiću,smišljeno prema toponimu
Bezdanica kod Zečeve Varoši,preuzeto kao lokalni naziv
Inžinjerka,smišljeno novo
Bunar jama kod Sakaruna,smišljeno prema toponimu
Jama Fileki,smišljeno novo
Hajdučka pećina,preuzeto kao lokalni naziv
Špilja kod izvora Mrežnice,smišljeno prema toponimu
Crno vrelo,preuzeto kao lokalni naziv
Rokinka,preuzeto kao lokalni naziv
Upaduša,smišljeno novo
Gnjile,smišljeno novo
Jama na Volti,nepoznato podrijetlo
Hajdučka peć,preuzeto kao lokalni naziv
Jama 42,smišljeno novo
Dvadeset i četvrti tjedan,smišljeno novo
Koprofagija,smišljeno novo
4 minute,smišljeno novo
Donja Baraćeva,preuzeto kao lokalni naziv
Riđa napast,smišljeno novo
Jama povrh Smiljanić drage,smišljeno prema toponimu
Hajdučka kuća,preuzeto kao lokalni naziv
Krajputašica,smišljeno novo
Lukinić pećina,preuzeto iz literature
Kaverna Congeria,smišljeno novo
Juha od puha,smišljeno novo
Vicka,preuzeto kao lokalni naziv
Biankina špilja,smišljeno novo
Tondinovica,smišljeno prema toponimu
Liljanin sistem,smišljeno novo
Porođajna,smišljeno novo
Golubnjača kod Gornjih Lalića,preuzeto kao lokalni naziv
Vidova špilja,preuzeto kao lokalni naziv
Jetrenka ispod Dubrave,smišljeno novo
Pogledalo,smišljeno prema toponimu
Jama Njuškica,smišljeno novo
Paležinka,smišljeno prema toponimu
Pećina Prohorce,smišljeno novo
Maslačak,smišljeno novo
Livodina,preuzeto iz literature
Sustav jazavaca,smišljeno novo
Vaculet,smišljeno novo
Patkov gušt,smišljeno novo
Perinka,preuzeto iz literature
Žejava,preuzeto kao lokalni naziv
Jama iznad Blizne,smišljeno prema toponimu
Jama pod Crnim vrhom 2,smišljeno prema toponimu
Uragan-studnia mlodych,smišljeno novo
Peć s vodom,preuzeto kao lokalni naziv
Odmor špilja,smišljeno novo
Svibanjski poljubac,smišljeno novo
Jama u Bukvi,smišljeno prema toponimu
Dve muhe,smišljeno novo
Špilja pod Gajem,smišljeno novo
Mokra pećina,nepoznato podrijetlo
Rokina bezdana,preuzeto kao lokalni naziv
Trpnjak 2,smišljeno prema toponimu
BG 10,smišljeno prema toponimu
Trapava jama,smišljeno novo
Jama u Tijesnom kod Vrata 3,smišljeno novo
Špilja u Podrujnici,smišljeno prema toponimu
Jama na Zaluki 3,smišljeno prema toponimu
Jama u potrazi 1,smišljeno novo
Jama pod Umcom,preuzeto kao lokalni naziv
Friganova jama,preuzeto kao lokalni naziv
Osinec jama,smišljeno prema toponimu
Pećina pod laz,preuzeto kao lokalni naziv
Golubinka kod Bjeline,preuzeto kao lokalni naziv
Golubinka pod Ošljakom,preuzeto kao lokalni naziv
Tabakuša,preuzeto kao lokalni naziv
Vuco 4-1,smišljeno novo
Pećina kod Korenskog,preuzeto iz literature
Čabrakadabra,smišljeno novo
Špiljica,smišljeno novo
Golubinka 2,preuzeto kao lokalni naziv
Druga prva jama,smišljeno novo
Snjeguljac,smišljeno novo
Špilja na Komu,smišljeno prema toponimu
Hell's ditch 1,smišljeno novo
Nevidjela,smišljeno novo
Kubanskaja 1 - 18 A,smišljeno novo
Uviraljka,preuzeto kao lokalni naziv
Sklepova peć,preuzeto kao lokalni naziv
Nenategnuta,smišljeno novo
Golubinka Kanegra,smišljeno prema toponimu
Meandar mali,smišljeno novo
Thompson,smišljeno novo
ČD 9,smišljeno prema toponimu
Badanj,preuzeto kao lokalni naziv
Pola sata,smišljeno novo
Prva nespojena,smišljeno novo
Fobija,smišljeno novo
Jama Šverda,smišljeno prema toponimu
Norina pećina,smišljeno prema toponimu
Pećina u porovim Kozarama,smišljeno prema toponimu
Golubinka kod Pačići,smišljeno prema toponimu
Magdalenini mačići,smišljeno novo
Polušpilja u Trkavoj dolini,smišljeno prema toponimu
Jama u konobici,smišljeno novo
ČP jama,smišljeno novo
Spilja od vore,preuzeto kao lokalni naziv
Rolina jama,smišljeno novo
Jama u koritu Lemeš,smišljeno prema toponimu
Tiborer,smišljeno novo
Kalabrirana špilja,smišljeno novo
Jama iznad Delaškog gaja,smišljeno prema toponimu
Snježna kraljica,smišljeno novo
Novogodišnja Studena,smišljeno novo
Kosilova jama,preuzeto kao lokalni naziv
Vilinska peć,preuzeto kao lokalni naziv
Jama Nevjernica,smišljeno novo
Bazuje uzvodno,smišljeno novo
Jama kod dječjeg oporavilišta 3,smišljeno novo
Špilja Sv. Ante,preuzeto kao lokalni naziv
Yukina špilja,smišljeno novo
Zavižanka,smišljeno prema toponimu
Morž,smišljeno novo
Špilja ispod kućice desna,smišljeno novo
Mala spila,preuzeto kao lokalni naziv
Kugina ledenica,preuzeto kao lokalni naziv
Medici 2,smišljeno prema toponimu
Jama II kod Metodovog zida,smišljeno prema toponimu
Špilj u harmonici,smišljeno novo
Šmrčevka,smišljeno prema toponimu
Šlager jama,smišljeno novo
Jama u Kamari,preuzeto kao lokalni naziv
Gerovčica,smišljeno prema toponimu
Slapenik,preuzeto kao lokalni naziv
Bracina jama,preuzeto kao lokalni naziv
Griblova jama,smišljeno novo
Japagina 3,smišljeno prema toponimu
Jurinova jama,preuzeto kao lokalni naziv
Čujna jama,smišljeno novo
Gubeša,smišljeno prema toponimu
Pliškovićeva jama,preuzeto kao lokalni naziv
Ostaševica,preuzeto kao lokalni naziv
Emental,smišljeno novo
Bubeš 2,smišljeno prema toponimu
Pećina na Velikom Humu,smišljeno prema toponimu
Jama u Grabiku,smišljeno prema toponimu
Pećina u kanjonu Mrežnice 1,smišljeno prema toponimu
Pećina kod Katuna,smišljeno prema toponimu
Strmotića ponor,smišljeno prema toponimu
Crikvena 05-1003,smišljeno novo
Bavlanovi,smišljeno novo
"Jama leti, leti",smišljeno novo
Kakmanka,smišljeno novo
Shire,smišljeno novo
Jama na Vodenom Opuhu,smišljeno prema toponimu
Romanova jama,smišljeno novo
Zimić pećina,smišljeno prema toponimu
Mala špilja u kamenolomu Belaj,smišljeno novo
Kosta-Rika,smišljeno novo
Ježeva kućica,smišljeno novo
Jama špilja,smišljeno novo
Triput,smišljeno novo
Jama Nabalamasa,smišljeno novo
Čisti trušanj,preuzeto kao lokalni naziv
Kukova peć,preuzeto kao lokalni naziv
Nebeska kuka,smišljeno novo
Na ruke,smišljeno novo
Puhovski,smišljeno novo
Jama pod Kozarica vrhom 3,smišljeno prema toponimu
Srednja špilja kod Vukovskog  zdenca,smišljeno novo
Špilja pod Crnim vrhom,smišljeno prema toponimu
Libinje 1,smišljeno prema toponimu
Pištolin golić 2,smišljeno prema toponimu
Vučilnica špilja,preuzeto kao lokalni naziv
Špilja na prijevoju Lemeš,smišljeno prema toponimu
Nugljanska peć,smišljeno prema toponimu
B 20,smišljeno novo
Panjeva jama,smišljeno novo
Markova jama,preuzeto kao lokalni naziv
Babalarka,smišljeno novo
Jamica kraj Nikolićeve,smišljeno novo
Pećina kod Ljubićeve stancije,smišljeno prema toponimu
Špilja na Kamenjaku,smišljeno prema toponimu
Strušnica,preuzeto kao lokalni naziv
Marsovka,smišljeno novo
Jama na odvojku,smišljeno novo
Paukova jama,smišljeno novo
Jama u Japagama 3,smišljeno prema toponimu
Grunfova jama,smišljeno novo
Materina jama,nepoznato podrijetlo
Špilja pod Kovačevcom,preuzeto kao lokalni naziv
Lokvica,preuzeto kao lokalni naziv
Hladni podrum,smišljeno novo
Smokvin škrip pod križem,smišljeno novo
Pećina kod Nozreta,preuzeto iz literature
Mali Lukica,smišljeno novo
Mississippi,smišljeno novo
Trojama u Jovcu,smišljeno novo
Jama za Vučkom,preuzeto kao lokalni naziv
Lepava špilja,smišljeno novo
Utovarka,smišljeno novo
Golubinka iznad Zavale,preuzeto kao lokalni naziv
Rupa Perjasička,smišljeno novo
Špila pod Križican,smišljeno prema toponimu
Mini golf - Strguljin grad 5,smišljeno prema toponimu
Kaverna 183_Tunel Konavosko polje- more,smišljeno novo
SM 1,smišljeno novo
Svinjarije,smišljeno novo
Dragića špilja 2,smišljeno prema toponimu
Špilja u Potomju,smišljeno prema toponimu
Uspavanka,smišljeno novo
Nebeski svod,smišljeno novo
B11,smišljeno novo
Malopećinska špilja,smišljeno prema toponimu
Galičnjak,preuzeto kao lokalni naziv
Antulina jama,smišljeno novo
Pasja špilja,preuzeto kao lokalni naziv
Izvor špilja Sitnica,preuzeto kao lokalni naziv
Mala peć,preuzeto sa karte
Polupećina Kikiriki,smišljeno novo
Jama na Bojušini 4,smišljeno prema toponimu
Jama kod volovskog puta,smišljeno novo
Ciganuša,nepoznato podrijetlo
Nema vode,smišljeno novo
Jasenova glavica 2,smišljeno prema toponimu
Stara jametina,nepoznato podrijetlo
Pik,smišljeno novo
Da Da Da,smišljeno novo
Prepremoštena pećina,smišljeno novo
Mimikrija,smišljeno novo
Pod balkonom 1,smišljeno prema toponimu
Ruškina pećina,preuzeto iz literature
Jama do Lepuške ledenice,smišljeno novo
Kulića pećina,preuzeto sa karte
Ogledalce,smišljeno novo
Špilja u Paležima,smišljeno prema toponimu
Ponorac,preuzeto kao lokalni naziv
Tavnica,preuzeto kao lokalni naziv
Mrtvi čagalj,smišljeno novo
B 18,smišljeno novo
Vilnica,preuzeto kao lokalni naziv
Lopotarica,preuzeto kao lokalni naziv
Špijunka,smišljeno novo
Jama pod medvjeđim zubom,smišljeno prema toponimu
Sustav pod pločom,smišljeno novo
Rogić špilja,preuzeto kao lokalni naziv
Jama Ostrišnjak,smišljeno prema toponimu
Terraneo,smišljeno novo
ponor Rupećica,preuzeto kao lokalni naziv
Špilja iznad iznad izvora,smišljeno novo
Gliboka,smišljeno novo
Za Dan Republike,smišljeno novo
Zakičnica V,smišljeno prema toponimu
Špilja u Bunariću,smišljeno prema toponimu
Pećina Jazbina,smišljeno novo
Fjalraven,smišljeno novo
Batorinka,smišljeno novo
Pavlovica,preuzeto kao lokalni naziv
Jama pod Guvnom,smišljeno prema toponimu
Kameni luk,smišljeno novo
Jama prema Zijači 2,smišljeno prema toponimu
Žarina jama,preuzeto kao lokalni naziv
Pećina kod vrha Travnik,smišljeno prema toponimu
Pupićina pećina,preuzeto kao lokalni naziv
Jama na Brgucima,smišljeno prema toponimu
Giletova jama,smišljeno novo
Jama kod Male Učke,smišljeno prema toponimu
Junferka,smišljeno novo
Donja gora,smišljeno novo
Jama pod Orljakom,smišljeno prema toponimu
Pećina u pukotini,smišljeno novo
Slovaci JVPM,smišljeno novo
Zlata jama,smišljeno prema toponimu
Unijela,smišljeno prema toponimu
MR3,smišljeno novo
Jama 112,smišljeno novo
Švecova špilja,smišljeno prema toponimu
Pećnićka peć,smišljeno prema toponimu
Velika pećina u gredi,preuzeto kao lokalni naziv
Lovrečina,smišljeno prema toponimu
Žablja jama,smišljeno novo
Baksuz,smišljeno novo
Jama Golubinka (Donji Begovići),preuzeto kao lokalni naziv
Špilja u kamenolomu Tounj,smišljeno novo
Špilja ispod zemljine,preuzeto kao lokalni naziv
Pećina Gornji brijeg,preuzeto kao lokalni naziv
Mučka jama,smišljeno novo
Užareni borer,smišljeno novo
Brlog,smišljeno novo
Špilja u uvali Vidrovača,smišljeno prema toponimu
Slavića pećina,preuzeto kao lokalni naziv
Dakina jama,smišljeno novo
Špilja u Nevistinim stinama,smišljeno prema toponimu
Smrduša donja,smišljeno novo
Jama u Bukovju,smišljeno prema toponimu
Mrgića ponor,smišljeno prema toponimu
Medin Kraj,smišljeno novo
Jama pomirenja,smišljeno novo
Lažipaukova jama,smišljeno novo
Pećak,smišljeno novo
Pećina kod Zvonika 3,preuzeto kao lokalni naziv
Glista,smišljeno novo
EKG 05-776,smišljeno novo
Škuja na lokvice,preuzeto kao lokalni naziv
Bajkovita,smišljeno novo
Vrtlina,preuzeto iz literature
Petrovača,smišljeno prema toponimu
Jama 7,preuzeto iz literature
Japagina 4,smišljeno prema toponimu
Pećinik,preuzeto kao lokalni naziv
Hasanaginica,smišljeno novo
Nazdravlje,smišljeno novo
Jama I.K.S.,smišljeno novo
4x4,smišljeno novo
Ledeni šaht,smišljeno novo
Snježovka,preuzeto kao lokalni naziv
Jama na Zalušćici,smišljeno prema toponimu
Bingo ledenica,smišljeno novo
Jama u Demišjoj ogradi,smišljeno prema toponimu
Morska špilja u uvali Javorna,smišljeno prema toponimu
Gole Brce,nepoznato podrijetlo
Luka jama,smišljeno novo
Kevinova jama,smišljeno novo
Ponor Crnog vrela,preuzeto iz literature
Kojina jama,preuzeto kao lokalni naziv
Lepuška ledenica,smišljeno prema toponimu
Brdarica 1,smišljeno prema toponimu
Stifler,smišljeno novo
Graničarka,smišljeno novo
Pećina u Srdašcu,smišljeno prema toponimu
Tamanica,smišljeno novo
Spilja pod Meragom,smišljeno prema toponimu
Krčevina kod Nebljusa,preuzeto iz literature
Deimos,smišljeno novo
LS1,smišljeno novo
Valens,smišljeno novo
Grotta Vulcano,preuzeto iz literature
Bezdanka u Svibu,smišljeno prema toponimu
Pećina u vali Pećine,smišljeno prema toponimu
Jama na Puharevom,nepoznato podrijetlo
Sid,smišljeno novo
Blizanci,preuzeto kao lokalni naziv
MKG 3,smišljeno novo
Puzava tropeča,smišljeno novo
Grebenka,smišljeno novo
Co to maš,smišljeno novo
Slamka,smišljeno novo
Pećina ispod Kamenoloma u selu Podoštra,smišljeno prema toponimu
Jama od Bašćine kod Razine,smišljeno prema toponimu
Stol,preuzeto kao lokalni naziv
Jama na njivarskoj strani,smišljeno prema toponimu
Grotta Simon,smišljeno novo
Baba navlakuša,smišljeno novo
Jamljak,smišljeno prema toponimu
Jama na Strmici,smišljeno prema toponimu
Čavljerica,smišljeno novo
Golubinka na putu za Mišljen,smišljeno prema toponimu
Trogrlo,preuzeto kao lokalni naziv
Spilja Rupine,preuzeto kao lokalni naziv
Jama ne leti,smišljeno novo
Loza jama,smišljeno novo
Pijavice u magli,smišljeno novo
Voragine di Sterna Filaria,preuzeto kao lokalni naziv
Šajnovica,preuzeto kao lokalni naziv
Mačkova jama 1,smišljeno novo
Krc,smišljeno novo
Jama na Kapetanovom dolcu,smišljeno prema toponimu
Jama u Mikama,smišljeno prema toponimu
Jama pored stana,smišljeno novo
Golubinka u Vranjkovićima,smišljeno prema toponimu
Kordona,smišljeno novo
Staje 1,smišljeno prema toponimu
Jama iznad Ljubitovačkih staja,smišljeno prema toponimu
Miško,smišljeno novo
Troroga,smišljeno novo
Gaćina jama,smišljeno prema toponimu
Ementaler,smišljeno novo
Gašparova jama,preuzeto kao lokalni naziv
Kmegla,smišljeno novo
Mala pećinica,smišljeno novo
Rupa 01,smišljeno prema toponimu
B1,smišljeno novo
Vrtačasta jama,smišljeno novo
Jama na Lazarovom,smišljeno prema toponimu
Špilja na ponti Gaja,smišljeno prema toponimu
Obajdinov đot,preuzeto kao lokalni naziv
Dedov nos,smišljeno prema toponimu
Špilja na Bugarima,smišljeno prema toponimu
Sklonišna pećina,smišljeno novo
Knežić jama,smišljeno prema toponimu
Sovina spilja,smišljeno novo
Vela jama na Lavdari,preuzeto iz literature
Veli Badanj,preuzeto sa karte
"""Umjetna"" špilja povrh Žrnova",smišljeno prema toponimu
Laserska jama,smišljeno novo
Jama na Remetnoj strani,smišljeno prema toponimu
Meglena jama,smišljeno novo
Medvije stajice 2,smišljeno prema toponimu
